Farmer_ID,Farmer_Name,Village,District,State,Latitude,Longitude,Crop,Waste_Type,Waste_Weight_KG,Available_Date,Pickup_Time,Road_Access,Vehicle_Access,Moisture
FRM00052,Bankey Dwivedi,Bhopa,Muzaffarnagar,Uttar Pradesh,29.194927,77.797209,Cotton,Stalk,516.9,2026-08-21,Afternoon,Yes,Tractor,8.5
FRM00053,Sanjay Mittal,Sarsawa,Saharanpur,Uttar Pradesh,30.195035,77.333658,Sugarcane,Bagasse,1178.3,2026-08-01,Evening,Yes,Mini Truck,11.2
FRM00054,Virendra Rajput,Bilhaur,Kanpur,Uttar Pradesh,26.398113,80.120051,Paddy,Straw,554.6,2026-08-03,Evening,Yes,Mini Truck,19.8
FRM00055,Kailash Mittal,Sarojini Nagar,Lucknow,Uttar Pradesh,26.84155,80.744603,Wheat,Straw,615.1,2026-07-31,Afternoon,Yes,Mini Truck,10.1
FRM00056,Anil Kumar,Bijauli,Aligarh,Uttar Pradesh,27.939616,78.284894,Bajra,Residue,677.1,2026-07-28,Morning,Yes,Tractor,12.8
FRM00057,Ravi Baghel,Khurja,Bulandshahr,Uttar Pradesh,28.438951,77.882395,Sugarcane,Bagasse,1485.6,2026-08-21,Afternoon,Yes,Tractor,10.1
FRM00058,Surendra Agarwal,Ghatampur,Kanpur,Uttar Pradesh,26.443705,80.729696,Maize,Residue,661.0,2026-08-14,Evening,Yes,Tractor,9.3
FRM00059,Bhola Sonar,Akola,Agra,Uttar Pradesh,27.179605,78.263679,Cotton,Stalk,969.8,2026-08-10,Afternoon,Yes,Mini Truck,11.8
FRM00060,Sanjay Shukla,Karera,Gwalior,Madhya Pradesh,26.135174,78.411973,Bajra,Residue,209.2,2026-08-14,Morning,Yes,Tractor,21.0
FRM00061,Vinod Dwivedi,Chauri Chaura,Gorakhpur,Uttar Pradesh,26.874169,83.543823,Sugarcane,Bagasse,355.5,2026-08-03,Evening,No,Tractor,12.9
FRM00062,Santosh Agarwal,Kishni,Mainpuri,Uttar Pradesh,27.079207,78.860493,Wheat,Straw,1157.4,2026-08-23,Afternoon,No,Tractor,19.0
FRM00063,Pramod Goyal,Karchhana,Prayagraj,Uttar Pradesh,25.227108,81.930214,Cotton,Stalk,1136.9,2026-08-09,Afternoon,Yes,Tractor,16.5
FRM00064,Rajkumar Baghel,Nanauta,Saharanpur,Uttar Pradesh,29.967798,77.63353,Sugarcane,Bagasse,335.3,2026-08-20,Afternoon,Yes,Pickup Van,21.0
FRM00065,Naresh Srivastava,Bhadohi,Varanasi,Uttar Pradesh,25.166642,83.031236,Wheat,Straw,1656.4,2026-08-09,Afternoon,Yes,Tractor,24.5
FRM00066,Yogesh Kewat,Muzaffarabad,Saharanpur,Uttar Pradesh,29.910844,77.391301,Maize,Residue,870.1,2026-08-04,Afternoon,Yes,Bullock Cart,15.7
FRM00067,Giridhar Saxena,Patiali,Firozabad,Uttar Pradesh,27.118554,78.405575,Wheat,Straw,1549.4,2026-08-18,Morning,Yes,Mini Truck,18.6
FRM00068,Pappu Tiwari,Alamnagar,Lucknow,Uttar Pradesh,26.810126,80.837712,Maize,Residue,1093.7,2026-07-25,Evening,Yes,Tractor,13.3
FRM00069,Yogendra Chaudhary,Sarsaul,Kanpur,Uttar Pradesh,26.729425,80.586139,Bajra,Residue,421.0,2026-08-07,Afternoon,No,Tractor,20.0
FRM00070,Jagram Kumar,Faridpur,Bareilly,Uttar Pradesh,28.577147,79.318063,Mustard,Stalk,348.6,2026-08-07,Afternoon,No,Bullock Cart,21.4
FRM00071,Giridhar Rastogi,Purqazi,Muzaffarnagar,Uttar Pradesh,29.402799,77.930465,Mustard,Stalk,501.9,2026-08-04,Evening,No,Tractor,16.2
FRM00072,Umesh Jain,Panwari,Sambhal,Uttar Pradesh,28.677169,78.558372,Wheat,Straw,1584.8,2026-08-17,Afternoon,Yes,Pickup Van,8.7
FRM00073,Ramesh Khandelwal,Shikohabad,Mainpuri,Uttar Pradesh,27.18544,78.946252,Paddy,Straw,1744.6,2026-07-28,Afternoon,Yes,Bullock Cart,13.6
FRM00074,Umesh Rastogi,Tappal,Aligarh,Uttar Pradesh,28.169513,78.226279,Wheat,Straw,1431.5,2026-08-21,Afternoon,Yes,Pickup Van,19.0
FRM00075,Pramod Pandey,Shankargarh,Prayagraj,Uttar Pradesh,25.611701,81.69595,Paddy,Straw,309.5,2026-08-23,Afternoon,No,Bullock Cart,18.7
FRM00076,Rakesh Pathak,Awagarh,Etah,Uttar Pradesh,27.539177,78.597337,Cotton,Stalk,1093.8,2026-08-19,Morning,Yes,Tractor,8.8
FRM00077,Vinod Lodhi,Arajiline,Varanasi,Uttar Pradesh,24.992893,82.831133,Paddy,Straw,1175.2,2026-08-15,Morning,Yes,Mini Truck,14.5
FRM00078,Pramod Mittal,Samthar,Jhansi,Uttar Pradesh,25.197262,78.633704,Mustard,Stalk,709.8,2026-08-08,Afternoon,No,Tractor,10.7
FRM00079,Suresh Jain,Pilkhuwa,Meerut,Uttar Pradesh,29.059645,77.59628,Mustard,Stalk,196.0,2026-08-05,Evening,Yes,Mini Truck,14.5
FRM00080,Kailash Khandelwal,Mirganj,Bareilly,Uttar Pradesh,28.646918,79.254277,Maize,Residue,422.2,2026-08-01,Evening,Yes,Tractor,21.6
FRM00081,Ganesh Saxena,Aliganj,Etah,Uttar Pradesh,27.524656,78.589702,Mustard,Stalk,681.7,2026-08-08,Morning,Yes,Pickup Van,13.3
FRM00082,Arvind Saxena,Fatehpur,Saharanpur,Uttar Pradesh,29.852526,77.613799,Mustard,Stalk,429.3,2026-08-02,Morning,Yes,Pickup Van,16.5
FRM00083,Bankey Prajapati,Aliganj,Etah,Uttar Pradesh,27.519647,78.726471,Paddy,Straw,1746.4,2026-08-17,Evening,No,Bullock Cart,22.6
FRM00084,Girish Pandey,Ramnagar,Bareilly,Uttar Pradesh,28.375467,79.398002,Paddy,Straw,789.7,2026-08-02,Evening,Yes,Mini Truck,20.7
FRM00085,Lalit Tiwari,Pakwara,Moradabad,Uttar Pradesh,28.599204,78.816669,Wheat,Straw,1278.7,2026-08-14,Afternoon,No,Tractor,19.0
FRM00086,Omprakash Bind,Gangiri,Aligarh,Uttar Pradesh,28.038077,78.038609,Paddy,Straw,575.7,2026-08-06,Afternoon,Yes,Bullock Cart,17.1
FRM00087,Pradeep Pathak,Itaunja,Lucknow,Uttar Pradesh,26.84037,80.815988,Cotton,Stalk,1017.1,2026-08-02,Morning,Yes,Tractor,18.5
FRM00088,Jagram Lodhi,Nagla Bhatt,Hathras,Uttar Pradesh,27.750108,78.164758,Mustard,Stalk,680.3,2026-08-02,Morning,No,Bullock Cart,9.0
FRM00089,Yogendra Joshi,Kheragarh,Agra,Uttar Pradesh,27.244081,78.285732,Paddy,Straw,733.6,2026-08-19,Evening,Yes,Pickup Van,24.8
FRM00090,Lokesh Jain,Sahjanwa,Gorakhpur,Uttar Pradesh,26.816815,83.238808,Maize,Residue,934.4,2026-07-29,Morning,Yes,Pickup Van,12.7
FRM00091,Dinesh Baghel,Mursan,Hathras,Uttar Pradesh,27.675415,78.14033,Sugarcane,Bagasse,326.8,2026-07-29,Evening,Yes,Tractor,12.5
FRM00092,Suresh Yadav,Sarojini Nagar,Lucknow,Uttar Pradesh,26.651254,81.176384,Sugarcane,Bagasse,1907.2,2026-08-19,Evening,Yes,Mini Truck,8.7
FRM00093,Ajay Kumhar,Morena,Gwalior,Madhya Pradesh,26.324182,78.031738,Sugarcane,Bagasse,1846.5,2026-07-27,Afternoon,Yes,Tractor,9.2
FRM00094,Chandrabhan Agrawal,Parichha,Jhansi,Uttar Pradesh,25.300297,78.522064,Sugarcane,Bagasse,1071.3,2026-07-28,Evening,Yes,Mini Truck,18.3
FRM00095,Vijay Thakur,Campierganj,Gorakhpur,Uttar Pradesh,26.901345,83.214549,Wheat,Straw,1680.7,2026-08-17,Morning,Yes,Tractor,14.8
FRM00096,Ravindra Prajapati,Jagraon,Ludhiana,Punjab,30.813315,75.648139,Mustard,Stalk,183.9,2026-08-17,Afternoon,No,Bullock Cart,9.6
FRM00097,Bharat Chaudhary,Pharenda,Gorakhpur,Uttar Pradesh,26.661509,83.192919,Mustard,Stalk,749.0,2026-08-13,Afternoon,Yes,Mini Truck,24.5
FRM00098,Jagram Kumhar,Naraini,Jhansi,Uttar Pradesh,25.461895,78.651163,Wheat,Straw,1560.8,2026-08-19,Afternoon,Yes,Bullock Cart,17.8
FRM00099,Rakesh Vishwakarma,Karchhana,Prayagraj,Uttar Pradesh,25.407,81.810259,Paddy,Straw,637.2,2026-08-23,Afternoon,Yes,Tractor,21.0
FRM00100,Sunil Agrawal,Moth,Jhansi,Uttar Pradesh,25.708983,78.690293,Paddy,Straw,1048.8,2026-08-08,Afternoon,Yes,Tractor,14.4
FRM00101,Kailash Kewat,Sidhwan Bet,Ludhiana,Punjab,31.08838,76.135193,Cotton,Stalk,399.3,2026-08-09,Evening,Yes,Tractor,19.3
FRM00102,Bharat Agrawal,Saiyan,Agra,Uttar Pradesh,27.029049,78.077677,Sugarcane,Bagasse,1434.1,2026-08-06,Evening,Yes,Tractor,8.8
FRM00103,Ramnarayan Rajput,Atrauli,Aligarh,Uttar Pradesh,27.891989,78.243976,Sugarcane,Bagasse,1032.1,2026-08-11,Evening,Yes,Mini Truck,10.2
FRM00104,Ravi Tiwari,Kheragarh,Agra,Uttar Pradesh,27.214683,77.963209,Sugarcane,Bagasse,432.4,2026-08-07,Evening,Yes,Mini Truck,13.3
FRM00105,Virendra Mishra,Fatehganj,Bareilly,Uttar Pradesh,28.48707,79.40451,Sugarcane,Bagasse,1472.3,2026-08-07,Morning,Yes,Mini Truck,14.2
FRM00106,Harish Khandelwal,Shergarh,Bareilly,Uttar Pradesh,28.29965,79.599652,Maize,Residue,206.9,2026-08-10,Evening,Yes,Pickup Van,18.8
FRM00107,Kamlesh Nishad,Jagraon,Ludhiana,Punjab,30.831949,75.767766,Paddy,Straw,515.6,2026-08-18,Evening,Yes,Bullock Cart,18.2
FRM00108,Pradeep Soni,Vidhnu,Kanpur,Uttar Pradesh,26.207481,80.229275,Cotton,Stalk,1185.2,2026-08-14,Afternoon,Yes,Tractor,13.5
FRM00109,Badri Mishra,Khatauli,Muzaffarnagar,Uttar Pradesh,29.463512,77.767292,Paddy,Straw,938.8,2026-08-05,Afternoon,Yes,Pickup Van,8.6
FRM00110,Arvind Kewat,Shankargarh,Prayagraj,Uttar Pradesh,25.21309,81.836403,Bajra,Residue,912.8,2026-08-23,Evening,Yes,Tractor,8.7
FRM00111,Virendra Mallah,Jawan,Aligarh,Uttar Pradesh,27.973101,78.119008,Bajra,Residue,192.8,2026-07-26,Morning,No,Bullock Cart,19.0
FRM00112,Vijay Khandelwal,Saidabad,Prayagraj,Uttar Pradesh,25.173448,82.070608,Paddy,Straw,1209.4,2026-08-04,Morning,Yes,Tractor,13.7
FRM00113,Yogesh Verma,Sikandra Rao,Hathras,Uttar Pradesh,27.761412,78.015936,Wheat,Straw,1228.1,2026-08-05,Afternoon,No,Bullock Cart,10.4
FRM00114,Ganesh Shah,Jasra,Prayagraj,Uttar Pradesh,25.595056,81.780922,Cotton,Stalk,461.3,2026-08-16,Evening,No,Bullock Cart,10.2
FRM00115,Dinesh Saxena,Kanth,Moradabad,Uttar Pradesh,28.805078,78.77151,Paddy,Straw,542.7,2026-08-09,Morning,Yes,Tractor,24.1
FRM00116,Pappu Mittal,Nagla Bhatt,Hathras,Uttar Pradesh,27.768494,78.180971,Paddy,Straw,738.8,2026-07-29,Evening,Yes,Tractor,21.0
FRM00117,Pradeep Dubey,Ganjdundwara,Etah,Uttar Pradesh,27.591616,78.579397,Paddy,Straw,782.9,2026-08-08,Evening,Yes,Pickup Van,20.2
FRM00118,Umesh Kewat,Kashi Vidyapeeth,Varanasi,Uttar Pradesh,25.184843,83.31251,Mustard,Stalk,274.6,2026-08-12,Afternoon,Yes,Tractor,19.5
FRM00119,Badri Mallah,Bhadohi,Varanasi,Uttar Pradesh,25.677883,82.896376,Paddy,Straw,600.0,2026-08-21,Afternoon,Yes,Tractor,18.9
FRM00120,Giridhar Singh,Saurikh,Hathras,Uttar Pradesh,27.54944,78.260618,Sugarcane,Bagasse,1172.7,2026-07-27,Morning,No,Bullock Cart,22.1
FRM00121,Hariom Chaudhary,Itaunja,Lucknow,Uttar Pradesh,26.673423,81.07809,Bajra,Residue,512.4,2026-08-23,Morning,No,Bullock Cart,8.5
FRM00122,Rakesh Prajapati,Iglas,Aligarh,Uttar Pradesh,27.821773,78.408511,Maize,Residue,756.8,2026-08-22,Morning,Yes,Tractor,18.5
FRM00123,Dharmendra Nishad,Khamano,Ludhiana,Punjab,30.738387,75.724691,Wheat,Straw,375.4,2026-08-14,Evening,Yes,Tractor,12.1
FRM00124,Ramnarayan Mishra,Meja,Prayagraj,Uttar Pradesh,25.675247,81.871115,Maize,Residue,507.8,2026-08-05,Morning,Yes,Tractor,8.0
FRM00125,Suresh Rajput,Rohania,Varanasi,Uttar Pradesh,24.979573,82.877805,Sugarcane,Bagasse,963.8,2026-08-14,Afternoon,No,Tractor,16.0
FRM00126,Rajkumar Agrawal,Bhongaon,Mainpuri,Uttar Pradesh,27.098444,79.218369,Maize,Residue,1129.3,2026-07-26,Afternoon,Yes,Pickup Van,13.7
FRM00127,Ramkumar Sharma,Amroha,Moradabad,Uttar Pradesh,29.036852,78.749291,Maize,Residue,188.3,2026-08-08,Morning,Yes,Tractor,21.2
FRM00128,Harishchandra Chauhan,Fatehpur,Saharanpur,Uttar Pradesh,29.893709,77.733378,Sugarcane,Bagasse,362.3,2026-08-03,Afternoon,No,Tractor,19.0
FRM00129,Bankey Mallah,Shahpur,Muzaffarnagar,Uttar Pradesh,29.529924,77.529875,Maize,Residue,1352.5,2026-07-30,Afternoon,Yes,Tractor,14.6
FRM00130,Anil Maurya,Shahpur,Muzaffarnagar,Uttar Pradesh,29.63243,77.799757,Cotton,Stalk,1004.6,2026-08-04,Morning,Yes,Mini Truck,17.3
FRM00131,Rajesh Gupta,Chail,Prayagraj,Uttar Pradesh,25.162188,81.983304,Sugarcane,Bagasse,1535.6,2026-08-13,Afternoon,Yes,Bullock Cart,23.5
FRM00132,Phool Shah,Amroha,Moradabad,Uttar Pradesh,28.664061,78.889986,Bajra,Residue,257.1,2026-08-19,Afternoon,Yes,Tractor,18.3
FRM00133,Yogesh Rastogi,Fatehganj,Bareilly,Uttar Pradesh,28.175154,79.604187,Paddy,Straw,919.9,2026-08-08,Morning,Yes,Mini Truck,14.3
FRM00134,Satish Saxena,Garautha,Jhansi,Uttar Pradesh,25.44861,78.65438,Sugarcane,Bagasse,957.9,2026-08-02,Afternoon,Yes,Tractor,17.5
FRM00135,Sunil Jain,Amroha,Moradabad,Uttar Pradesh,28.955562,78.772292,Mustard,Stalk,506.8,2026-08-08,Morning,No,Bullock Cart,23.3
FRM00136,Lokesh Tripathi,Sarsawa,Saharanpur,Uttar Pradesh,30.197478,77.6452,Mustard,Stalk,740.6,2026-08-14,Morning,No,Bullock Cart,23.8
FRM00137,Anil Rai,Ghiror,Mainpuri,Uttar Pradesh,27.249775,79.191083,Sugarcane,Bagasse,927.1,2026-08-11,Morning,Yes,Tractor,21.7
FRM00138,Harish Verma,Pichhore,Gwalior,Madhya Pradesh,26.176758,77.973131,Maize,Residue,203.3,2026-08-14,Morning,Yes,Mini Truck,24.5
FRM00139,Anil Srivastava,Asmoli,Sambhal,Uttar Pradesh,28.619262,78.394089,Maize,Residue,280.6,2026-08-21,Morning,No,Bullock Cart,16.5
FRM00140,Satish Bind,Akrabad,Aligarh,Uttar Pradesh,28.012127,78.038129,Mustard,Stalk,861.3,2026-08-14,Evening,Yes,Mini Truck,12.3
FRM00141,Jagram Singh,Saiyan,Agra,Uttar Pradesh,27.007323,77.800753,Paddy,Straw,1254.0,2026-08-13,Afternoon,Yes,Mini Truck,20.3
FRM00142,Ravi Shah,Shamshabad,Agra,Uttar Pradesh,27.50232,77.899003,Cotton,Stalk,943.7,2026-08-14,Morning,Yes,Mini Truck,15.1
FRM00143,Manish Chaudhary,Doraha,Ludhiana,Punjab,30.541614,75.89596,Wheat,Straw,285.0,2026-08-08,Afternoon,Yes,Tractor,9.0
FRM00144,Ajay Maurya,Gangoh,Saharanpur,Uttar Pradesh,29.903706,77.226834,Bajra,Residue,243.8,2026-08-11,Morning,Yes,Mini Truck,14.3
FRM00145,Ramlal Rastogi,Pilkhuwa,Meerut,Uttar Pradesh,29.120396,77.801034,Mustard,Stalk,476.3,2026-08-22,Morning,No,Bullock Cart,24.4
FRM00146,Chandrabhan Shah,Dhanipur,Aligarh,Uttar Pradesh,27.821385,78.089256,Sugarcane,Bagasse,1943.4,2026-08-05,Morning,Yes,Mini Truck,11.7
FRM00147,Surendra Prajapati,Chandausi,Moradabad,Uttar Pradesh,28.833605,78.795163,Wheat,Straw,1782.5,2026-08-18,Afternoon,Yes,Mini Truck,20.4
FRM00148,Naresh Rai,Machhara,Meerut,Uttar Pradesh,28.910663,77.680745,Sugarcane,Bagasse,1234.8,2026-08-13,Evening,Yes,Tractor,22.0
FRM00149,Mukesh Baghel,Shergarh,Bareilly,Uttar Pradesh,28.62163,79.409213,Maize,Residue,378.7,2026-08-10,Morning,Yes,Tractor,16.7
FRM00150,Anil Baghel,Bhadohi,Varanasi,Uttar Pradesh,25.23419,83.15549,Maize,Residue,518.9,2026-08-20,Evening,Yes,Pickup Van,13.7
FRM00151,Harishchandra Agrawal,Hathwant,Firozabad,Uttar Pradesh,27.032432,78.533408,Sugarcane,Bagasse,1654.5,2026-08-16,Evening,Yes,Mini Truck,20.3
FRM00152,Mahesh Vishwakarma,Nichlaul,Gorakhpur,Uttar Pradesh,26.769733,83.437498,Paddy,Straw,1206.4,2026-08-20,Afternoon,Yes,Mini Truck,18.5
FRM00153,Shyamlal Khandelwal,Mullanpur,Ludhiana,Punjab,30.93115,75.882209,Wheat,Straw,914.0,2026-08-10,Evening,No,Bullock Cart,11.5
FRM00154,Harish Bansal,Sonkh,Mathura,Uttar Pradesh,27.569546,77.764699,Bajra,Residue,626.2,2026-07-30,Afternoon,No,Tractor,14.4
FRM00155,Anil Agrawal,Nidhuwa,Etah,Uttar Pradesh,27.519771,78.451701,Cotton,Stalk,311.5,2026-08-11,Afternoon,Yes,Bullock Cart,12.2
FRM00156,Jitendra Patel,Teetron,Muzaffarnagar,Uttar Pradesh,29.545222,77.972149,Sugarcane,Bagasse,1252.8,2026-08-17,Afternoon,Yes,Mini Truck,23.9
FRM00157,Bharat Tripathi,Asmoli,Sambhal,Uttar Pradesh,28.494826,78.640261,Wheat,Straw,682.1,2026-08-05,Afternoon,Yes,Pickup Van,20.1
